Symbol,Shortname,Currency,Previousclose,Open,Daylow,Dayhigh,Regularmarketpreviousclose,Regularmarketopen,Regularmarketdaylow,Regularmarketdayhigh,Dividendrate,Dividendyield,Fiveyearavgdividendyield,Beta,Trailingpe,Forwardpe,Volume,Marketcap,Fiftytwoweeklow,Fiftytwoweekhigh,Pricetosalestrailing12months,Fiftydayaverage,Twohundreddayaverage,Profitmargins,Bookvalue,Pricetobook,Earningsquarterlygrowth,Netincometocommon,Trailingeps,Forwardeps,Enterprisetorevenue,Enterprisetoebitda,52weekchange,Ebitda,Totaldebt,Quickratio,Currentratio,Totalrevenue,Debttoequity,Revenuepershare,Returnonassets,Returnonequity,Grossprofits,Freecashflow,Operatingcashflow,Earningsgrowth,Revenuegrowth,Grossmargins,Ebitdamargins,Operatingmargins,Trailingpegratio
AAPU,Direxion Daily AAPL Bull 2X Sha,USD,29.46,29.8,29.8,31.46,29.46,29.8,29.8,31.46,0.0,0.0,0.0,0.0,32.11,0.0,3770754.0,0.0,20.48,43.1,0.0,36.55,33.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAXJ,iShares MSCI All Country Asia e,USD,73.07,71.75,71.5,71.94,73.07,71.75,71.5,71.94,0.0,0.0,0.0,0.0,15.13,0.0,368445.0,0.0,62.92,82.25,0.0,73.43,73.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABAT,American Battery Technology Com,USD,1.41,1.32,1.26,1.44,1.41,1.32,1.26,1.44,0.0,0.0,0.0,1.85,0.0,-9.04,2410426.0,0.11,0.73,4.11,314.01,1.45,1.22,0.0,0.96,1.32,0.0,-52501824.0,-1.0,-0.14,176.83,-1.7,-0.51,-35836904.0,6501665.0,0.51,1.16,0.0,10.58,0.01,-0.31,-85.83,-0.0,-0.03,-16736231.0,0.0,0.0,0.0,0.0,-35.17,0.0
ABCL,AbCellera Biologics Inc.,USD,3.48,3.41,3.3,3.46,3.48,3.41,3.3,3.46,0.0,0.0,0.0,0.35,0.0,-4.9,2500615.0,0.98,2.34,5.62,29.62,2.95,3.07,0.0,3.65,0.9,0.0,-175796992.0,-0.61,-0.66,13.84,-2.05,-0.38,-222243008.0,71399000.0,8.88,9.34,0.03,6.62,0.11,-0.13,-15.55,-0.14,-0.11,-120167000.0,0.0,-1.4,0.0,0.0,-14.39,0.0
ABCS,Alpha Blue Capital US Small-Mid,USD,29.72,29.68,29.68,29.8,29.72,29.68,29.68,29.8,0.0,0.0,0.0,0.0,16.33,0.0,3602.0,0.0,24.76,30.86,0.0,29.5,27.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,Abeona Therapeutics Inc.,USD,5.26,5.28,5.24,5.7,5.26,5.28,5.24,5.7,0.0,0.0,0.0,1.5,0.0,-4.86,369319.0,0.24,3.05,9.01,inf,5.8,5.43,0.0,0.56,9.79,0.0,-52599000.0,-2.05,-1.48,0.0,-2.89,0.08,-54747000.0,23165000.0,7.38,7.48,0.0,31.63,0.0,-0.38,-127.38,-0.03,-0.02,-42203000.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL,"Abacus Life, Inc.",USD,7.93,7.89,7.78,8.06,7.93,7.89,7.78,8.06,0.0,0.0,0.0,0.15,0.0,10.48,86643.0,0.75,6.75,13.25,7.37,7.86,9.63,-11.65,3.45,2.26,0.0,-11926200.0,-0.22,0.81,7.34,26.97,-0.35,27886216.0,182516832.0,1.2,1.29,0.1,70.76,1.55,0.03,-5.79,0.09,0.03,-131117952.0,0.0,33.3,0.91,27.23,0.23,0.0
ABLLL,"Abacus Life, Inc. - 9.875% Fixe",USD,27.6,27.58,27.58,27.58,27.6,27.58,27.58,27.58,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,24.68,38.5,0.0,27.5,26.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABLLW,0.0,USD,1.05,1.08,1.06,1.1,1.05,1.08,1.06,1.1,0.0,0.0,0.0,0.0,0.0,0.0,10465.0,0.0,1.06,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABLVW,Able View Global Inc. Warrant,USD,0.02,0.04,0.02,0.02,0.02,0.04,0.02,0.02,0.0,0.0,0.0,2.87,0.0,0.0,368.0,0.0,0.02,0.02,0.0,0.0,0.0,6.54,0.27,0.07,0.03,9441345.0,0.0,0.0,0.0,0.0,0.0,13543705.0,15858496.0,1.82,3.1,0.15,138.92,3.78,0.15,115.06,0.04,0.02,23573330.0,0.1,-20.3,0.25,9.09,0.08,0.0
