Symbol,Shortname,Currency,Previousclose,Open,Daylow,Dayhigh,Regularmarketpreviousclose,Regularmarketopen,Regularmarketdaylow,Regularmarketdayhigh,Dividendrate,Dividendyield,Fiveyearavgdividendyield,Beta,Trailingpe,Forwardpe,Volume,Marketcap,Fiftytwoweeklow,Fiftytwoweekhigh,Pricetosalestrailing12months,Fiftydayaverage,Twohundreddayaverage,Profitmargins,Bookvalue,Pricetobook,Earningsquarterlygrowth,Netincometocommon,Trailingeps,Forwardeps,Enterprisetorevenue,Enterprisetoebitda,52weekchange,Ebitda,Totaldebt,Quickratio,Currentratio,Totalrevenue,Debttoequity,Revenuepershare,Returnonassets,Returnonequity,Grossprofits,Freecashflow,Operatingcashflow,Earningsgrowth,Revenuegrowth,Grossmargins,Ebitdamargins,Operatingmargins,Trailingpegratio
BAER,Bridger Aerospace Group Holding,USD,3.07,2.92,2.75,3.0,3.07,2.92,2.75,3.0,0.0,0.0,0.0,-0.29,0.0,0.0,291588.0,0.15,1.71,6.61,1.82,2.67,3.24,-40.25,-5.75,0.0,0.56,-58774000.0,-1.26,0.0,8.51,60.19,-0.47,11900000.0,213350000.0,2.79,3.42,0.08,307.64,1.72,-0.01,-56.48,0.03,0.02,14849000.0,107.3,20.3,0.41,14.14,0.51,0.0
BAERW,Bridger Aerospace Group Holding,USD,0.2,0.22,0.2,0.22,0.2,0.22,0.2,0.22,0.0,0.0,0.0,-0.29,0.0,0.0,32176.0,0.0,0.2,0.22,0.0,0.0,0.0,-40.25,-5.75,0.0,0.56,-58774000.0,0.0,0.0,0.0,0.0,0.0,11900000.0,213350000.0,2.79,3.42,0.08,307.64,1.72,-0.01,-56.48,0.03,0.02,14849000.0,107.3,20.3,0.41,14.14,0.51,0.0
BAFE,Brown Advisory Flexible Equity ,USD,26.15,25.83,25.83,25.98,26.15,25.83,25.83,25.98,0.0,0.0,0.0,0.0,26.57,0.0,27730.0,0.0,24.74,26.2,0.0,25.52,25.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAFN,BayFirst Financial Corp.,USD,14.7,15.0,15.0,15.15,14.7,15.0,15.0,15.15,0.32,0.02,2.05,0.99,20.47,0.0,1379.0,0.06,10.4,17.5,0.82,13.47,12.93,5.88,20.94,0.72,-0.41,3060000.0,0.74,0.0,0.41,0.0,0.19,0.0,20273000.0,0.0,0.0,0.08,0.0,30.06,0.0,4.64,0.08,0.0,0.0,-55.9,-7.3,0.0,0.0,0.1,0.0
BAND,Bandwidth Inc.,USD,17.21,17.0,16.69,17.4,17.21,17.0,16.69,17.4,0.0,0.0,0.0,1.5,0.0,10.84,103369.0,0.46,11.9,25.02,0.66,18.35,18.32,-2.23,12.24,1.38,0.0,-15699000.0,-0.61,1.55,1.31,50.86,0.17,18140000.0,529036992.0,1.17,1.29,0.7,157.18,26.37,-0.02,-5.09,0.27,0.06,66633000.0,0.0,27.5,0.38,2.58,-0.0,0.0
BANF,BancFirst Corporation,USD,118.63,118.95,117.55,121.02,118.63,118.95,117.55,121.02,1.84,0.02,2.04,1.03,18.52,18.45,69655.0,3.96,81.21,132.29,6.51,121.9,103.61,34.33,47.84,2.49,0.16,208812000.0,6.44,6.18,1.83,0.0,0.27,0.0,115289000.0,0.0,0.0,0.61,0.0,18.44,0.02,14.13,0.61,0.0,286832000.0,15.1,9.7,0.0,0.0,0.49,0.0
BANFP,BancFirst Corporation - 7.2% Cu,USD,26.1,25.8,25.8,25.8,26.1,25.8,25.8,25.8,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,25.22,26.99,0.0,25.83,25.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANL,CBL International Limited,USD,1.1,1.08,1.08,1.15,1.1,1.08,1.08,1.15,0.0,0.0,0.0,0.0,0.0,0.0,9582.0,0.03,0.55,1.52,0.06,1.0,0.93,-0.31,0.95,1.2,0.0,-1633750.0,-0.06,0.0,0.0,-1.2,-0.12,-1055105.0,286666.0,1.49,1.51,0.52,1.21,20.85,-0.01,-6.7,0.01,0.02,-493741.0,0.0,44.4,0.01,-0.2,-0.01,0.0
BANR,Banner Corporation,USD,69.51,69.54,69.21,71.13,69.51,69.54,69.21,71.13,1.92,0.03,3.49,1.02,14.48,12.47,54111.0,2.43,42.0,78.05,4.1,70.75,58.17,27.83,52.06,1.36,-0.02,165131008.0,4.88,4.91,4.25,0.0,0.42,0.0,603593024.0,0.0,0.0,0.59,0.0,17.23,0.01,9.96,0.59,0.0,261554000.0,-2.3,-0.2,0.0,0.0,0.39,0.0
BANX,StoneCastle Financial Corp,USD,21.27,21.18,21.18,21.43,21.27,21.18,21.18,21.43,1.8,0.08,8.34,0.51,8.17,9.4,10051.0,0.15,17.91,21.67,5.07,20.84,19.74,62.14,21.58,0.99,-0.18,18608712.0,2.61,2.27,6.96,0.0,0.14,0.0,58800000.0,4.06,4.44,0.03,38.28,4.21,0.07,12.21,0.03,0.01,8049690.0,-18.1,9.3,1.0,0.0,0.8,0.0
BAOS,Baosheng Media Group Holdings L,USD,3.35,3.25,3.03,3.77,3.35,3.25,3.03,3.77,0.0,0.0,0.0,1.29,0.0,0.0,139699.0,0.01,1.44,13.66,6.16,2.46,2.48,0.0,25.86,0.13,0.0,-3581509.0,-2.33,0.0,3.08,-0.94,-0.01,-2816904.0,2201673.0,4.5,5.08,0.0,5.55,0.56,-0.04,-8.63,0.0,-0.01,-1653881.0,0.0,-57.6,0.75,0.0,-31.97,0.0
BASE,"Couchbase, Inc.",USD,17.29,17.02,16.82,17.69,17.29,17.02,16.82,17.69,0.0,0.0,0.0,0.59,0.0,-128.22,240145.0,0.89,13.53,32.0,4.5,17.29,18.76,-39.51,2.66,6.43,0.0,-78547000.0,-1.6,-0.16,4.69,-11.87,-0.3,-78515000.0,3840000.0,1.75,1.97,0.2,3.03,4.04,-0.2,-59.92,0.18,0.03,-22484000.0,0.0,19.6,0.89,-39.49,-0.41,0.0
BATRA,"Atlanta Braves Holdings, Inc. -",USD,41.16,41.39,41.35,42.02,41.16,41.39,41.35,42.02,0.0,0.0,0.0,0.93,0.0,-91.1,49452.0,2.45,38.9,46.65,3.61,41.16,42.43,-6.56,8.54,4.91,0.0,-44501000.0,-0.72,-0.46,4.73,288.61,-0.06,11127000.0,744524992.0,0.59,0.7,0.68,137.25,10.96,-0.02,-7.96,0.14,-0.05,10660000.0,0.0,6.9,0.21,1.64,0.02,0.0
BATRK,"Atlanta Braves Holdings, Inc. -",USD,37.91,38.06,38.0,38.61,37.91,38.06,38.0,38.61,0.0,0.0,0.0,0.93,0.0,-46.28,192306.0,2.42,35.81,44.42,3.57,38.96,40.0,-6.56,8.54,4.47,0.0,-44501000.0,-0.72,-1.03,4.44,270.46,-0.08,11127000.0,744524992.0,0.59,0.7,0.68,137.25,10.96,-0.02,-7.96,0.14,-0.05,10660000.0,0.0,6.9,0.21,1.64,0.02,0.0
BAYA,Bayview Acquisition Corp,USD,10.76,10.76,10.75,10.77,10.76,10.76,10.75,10.77,0.0,0.0,0.0,0.0,0.0,0.0,11325.0,0.06,10.03,10.82,0.0,10.68,10.41,0.0,-1.0,0.0,0.0,1276287.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.93,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-361170.0,0.0,0.0,0.0,0.0,0.0,0.0
BAYAR,Bayview Acquisition Corp,USD,0.2,0.16,0.14,0.16,0.2,0.16,0.14,0.16,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.14,0.16,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1276287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-361170.0,0.0,0.0,0.0,0.0,0.0,0.0
BAYAU,Bayview Acquisition Corp,USD,10.91,10.91,10.9,10.9,10.91,10.91,10.9,10.9,0.0,0.0,0.0,0.0,0.0,0.0,996.0,0.0,10.1,11.5,0.0,10.88,10.65,0.0,-1.0,0.0,0.0,1276287.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.93,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-361170.0,0.0,0.0,0.0,0.0,0.0,0.0
BBCP,"Concrete Pumping Holdings, Inc.",USD,8.31,7.99,7.79,8.35,8.31,7.99,7.79,8.35,0.0,0.0,0.0,1.12,31.68,15.01,202899.0,0.44,5.05,9.68,1.0,6.97,6.46,3.72,5.86,1.41,-0.27,14113000.0,0.26,0.42,1.72,6.8,0.06,109928000.0,399955008.0,1.37,1.54,0.43,117.75,8.14,0.04,4.84,0.17,0.04,95117000.0,-26.6,-9.2,0.39,25.29,0.15,0.0
BBGI,"Beasley Broadcast Group, Inc.",USD,8.34,8.24,8.24,8.24,8.34,8.24,8.24,8.24,0.0,0.0,4.46,0.98,4.43,-2.75,1418.0,0.01,7.6,18.8,0.06,8.74,11.8,1.07,97.89,0.08,0.0,2554268.0,1.86,-3.0,1.19,17.09,-0.56,16621347.0,304779040.0,0.0,0.0,0.24,204.43,157.54,0.0,0.0,0.03,0.0,-1915006.0,0.0,-3.2,0.14,6.96,0.04,0.0
BBH,VanEck Biotech ETF,USD,163.17,163.92,163.92,165.51,163.17,163.92,163.92,165.51,0.0,0.0,0.0,0.0,32.25,0.0,9938.0,0.0,151.35,183.64,0.0,162.2,169.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBIO,"BridgeBio Pharma, Inc.",USD,37.59,37.57,36.76,37.76,37.59,37.57,36.76,37.76,0.0,0.0,0.0,1.09,0.0,-10.39,495467.0,6.97,21.62,41.04,32.02,28.34,26.87,-201.53,-6.51,0.0,0.0,-438860000.0,-2.42,-3.06,39.4,-16.82,-0.01,-509903008.0,1729748992.0,1.93,3.19,0.22,0.0,1.19,-0.49,0.0,0.22,-0.37,-450219008.0,0.0,-33.2,0.99,-234.15,-68.5,0.0
BBLG,Bone Biologics Corp,USD,1.06,1.05,0.98,1.19,1.06,1.05,0.98,1.19,0.0,0.0,0.0,0.74,0.0,-0.51,959524.0,0.0,0.8,4.74,0.0,1.12,1.48,0.0,5.44,0.18,0.0,-5119297.0,-1.46,-2.19,0.0,0.0,-0.7,0.0,0.0,8.2,11.22,0.0,0.0,0.0,-0.57,-119.03,0.0,-0.0,-6772514.0,0.0,0.0,0.0,0.0,0.0,0.0
BBLGW,BONE BIOLOGICS CORP C/WTS (TO P,USD,76.88,60.0,72.0,72.0,76.88,60.0,72.0,72.0,0.0,0.0,0.0,0.74,0.0,0.0,1344.0,0.0,2.87,72.0,0.0,37.26,44.08,0.0,5.44,13.24,0.0,-5119297.0,-0.14,0.0,0.0,0.0,4.76,0.0,0.0,8.2,11.22,0.0,0.0,0.0,-0.57,-119.03,0.0,-0.0,-6772514.0,0.0,0.0,0.0,0.0,0.0,0.0
BBSI,"Barrett Business Services, Inc.",USD,43.54,43.38,43.18,44.01,43.54,43.38,43.18,44.01,0.32,0.01,1.5,1.39,22.99,19.55,21646.0,1.13,27.06,44.97,1.01,42.96,36.45,4.55,27.87,1.56,0.48,50751000.0,1.89,2.22,0.17,3.01,0.52,61360000.0,25299000.0,1.02,1.31,1.12,12.13,42.6,0.05,25.64,0.25,-0.02,13935000.0,50.9,10.0,0.22,5.5,0.05,1.32
BCAB,"BioAtla, Inc.",USD,0.5,0.5,0.49,0.51,0.5,0.5,0.49,0.51,0.0,0.0,0.0,1.02,0.0,-0.37,182983.0,0.03,0.45,4.02,2.59,1.14,1.75,0.0,0.48,1.03,0.0,-81817000.0,-1.7,-1.47,-2.83,0.36,-0.77,-85170000.0,1251000.0,2.9,3.11,0.01,5.45,0.23,-0.5,-139.06,-0.06,-0.06,-85075000.0,0.0,0.0,0.0,0.0,-1.02,0.0
BCAL,California BanCorp,USD,15.0,15.17,15.17,15.72,15.0,15.17,15.17,15.72,0.0,0.0,0.0,0.54,0.0,8.6,6987.0,0.5,12.3,18.49,6.34,16.76,14.89,-8.85,15.5,1.0,0.0,-6927000.0,-0.29,1.79,-0.56,0.0,-0.1,0.0,88353000.0,0.0,0.0,0.08,0.0,3.8,-0.0,-1.78,0.08,0.0,0.0,0.0,-37.3,0.0,0.0,-0.48,0.0
BCAN,Femto Technologies Inc.,USD,3.99,4.3,4.11,4.3,3.99,4.3,4.11,4.3,0.0,0.0,0.0,1.07,0.0,0.0,36624.0,0.0,3.95,1049.75,2.46,7.2,10.12,0.0,2643.56,0.0,0.0,-47147304.0,-944.93,0.0,-1.98,0.22,-0.99,-10217216.0,61848.0,12.09,12.28,0.0,0.75,7.62,-0.14,-169.36,0.0,-0.0,-5732374.0,0.0,61.7,0.17,0.0,-12.34,0.0
BCAX,Bicara Therapeutics Inc.,USD,11.6,11.91,11.6,12.11,11.6,11.91,11.6,12.11,0.0,0.0,0.0,0.0,0.0,-7.87,160549.0,0.63,11.51,28.09,0.0,17.61,20.25,0.0,9.36,1.24,0.0,-59478000.0,-1.09,-1.61,0.0,-1.6,-0.5,-69384000.0,445000.0,35.96,36.01,0.0,0.09,0.0,0.0,0.0,0.0,0.0,-52755000.0,0.0,0.0,0.0,0.0,0.0,0.0
BCBP,"BCB Bancorp, Inc. (NJ)",USD,11.54,11.62,11.62,11.9,11.54,11.62,11.62,11.9,0.64,0.06,4.82,0.55,10.14,8.59,38464.0,0.2,9.19,14.04,2.26,12.37,11.51,23.89,17.5,0.68,-0.01,19874000.0,1.17,1.45,5.91,0.0,-0.15,0.0,547344000.0,0.0,0.0,0.09,0.0,5.28,0.01,6.78,0.09,0.0,60608000.0,-7.3,-6.4,0.0,0.0,0.43,0.0
BCDA,"BioCardia, Inc.",USD,2.18,2.41,2.2,2.68,2.18,2.41,2.2,2.68,0.0,0.0,0.0,1.27,0.0,-1.84,273077.0,0.01,1.63,8.85,23.99,2.18,3.24,0.0,-1.02,0.0,0.0,-8559000.0,-4.03,-1.27,9.34,-0.47,-0.71,-8529000.0,1138000.0,0.35,0.39,0.0,0.0,0.26,-1.16,0.0,-0.0,-0.0,-7105000.0,0.0,-93.0,0.0,0.0,-549.67,0.0
BCG,"Binah Capital Group, Inc.",USD,2.48,2.4,2.27,2.97,2.48,2.4,2.27,2.97,0.0,0.0,0.0,0.46,0.0,0.0,95174.0,0.04,1.85,16.61,0.26,2.74,4.22,-1.82,1.88,1.32,0.0,-3680000.0,-0.31,0.0,0.59,0.0,-0.74,0.0,29272000.0,0.68,0.7,0.16,169.14,9.75,-0.04,-25.43,0.03,0.0,234000.0,0.0,2.3,0.17,0.0,-0.01,0.0
BCGWW,"Binah Capital Group, Inc. Warra",USD,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.0,0.0,0.0,0.46,0.0,0.0,20087.0,0.0,0.04,0.04,0.0,0.0,0.0,-1.82,1.88,0.02,0.0,-3680000.0,0.0,0.0,0.0,0.0,0.0,0.0,29272000.0,0.68,0.7,0.16,169.14,9.75,-0.04,-25.43,0.03,0.0,234000.0,0.0,2.3,0.17,0.0,-0.01,0.0
BCML,BayCom Corp,USD,27.43,27.61,27.48,28.2,27.43,27.61,27.48,28.2,0.6,0.02,0.0,0.77,13.19,11.16,16852.0,0.31,18.54,30.13,3.21,27.49,23.27,24.87,29.12,0.95,-0.09,23890000.0,2.1,2.2,0.84,0.0,0.26,0.0,85979000.0,0.0,0.0,0.1,0.0,8.45,0.01,7.6,0.1,0.0,30778000.0,-3.6,-5.5,0.0,0.0,0.34,0.0
BCOV,Brightcove Inc.,USD,4.43,4.43,4.43,4.44,4.43,4.43,4.43,4.44,0.0,0.0,0.0,0.74,0.0,126.71,94784.0,0.2,1.55,4.44,1.0,4.09,2.63,-4.58,2.12,2.09,0.0,-9142000.0,-0.21,-0.05,0.98,-120.86,0.84,-1613000.0,22688000.0,0.57,0.75,0.2,23.77,4.51,-0.03,-9.74,0.12,0.01,13652000.0,0.0,-2.0,0.62,-0.81,-0.06,0.0
BCOW,"1895 Bancorp of Wisconsin, Inc.",USD,9.7,9.59,9.7,10.12,9.7,9.59,9.7,10.12,0.0,0.0,0.0,0.0,0.0,0.0,1039.0,0.05,6.69,10.69,4.49,9.99,8.86,-27.59,13.47,0.71,0.0,-3263000.0,-0.6,0.0,8.85,0.0,0.24,0.0,75792000.0,0.0,0.0,0.01,0.0,2.16,-0.01,-4.55,0.01,0.0,-43000.0,0.0,116.8,0.0,0.0,-0.1,0.0
BCPC,Balchem Corporation,USD,160.23,159.74,159.42,162.54,160.23,159.74,159.42,162.54,0.87,0.01,0.5,0.65,42.86,32.73,56204.0,5.2,137.69,186.03,5.52,170.22,164.83,12.9,36.21,4.41,0.16,121540000.0,3.73,4.88,5.71,25.02,0.13,215086000.0,245290000.0,1.78,2.98,0.94,20.84,29.21,0.06,11.04,0.32,0.14,197088000.0,14.4,4.3,0.34,22.82,0.2,4.31
BCRX,"BioCryst Pharmaceuticals, Inc.",USD,7.64,7.6,7.54,7.97,7.64,7.6,7.54,7.97,0.0,0.0,0.0,1.89,0.0,-123.57,1199893.0,1.63,4.03,8.88,3.95,7.57,7.03,-30.01,-2.26,0.0,0.0,-123817000.0,-0.61,-0.04,5.08,-65.58,0.35,-31941000.0,842137984.0,2.62,2.78,0.41,0.0,2.01,-0.04,0.0,0.22,0.02,-55725000.0,0.0,35.0,0.52,-7.74,0.07,0.0
BCTXW,BriaCell Therapeutics Corp.,USD,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,1.82,0.0,0.0,1807.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,-0.13,0.0,0.0,-4791466.0,0.0,0.0,0.0,0.0,0.0,-33246180.0,0.0,0.21,0.49,0.0,0.0,0.0,-1.26,0.0,0.0,-0.01,-24126128.0,0.0,0.0,0.0,0.0,0.0,0.0
BCYC,Bicycle Therapeutics plc,USD,12.98,13.08,13.08,13.6,12.98,13.08,13.08,13.6,0.0,0.0,0.0,0.89,0.0,-3.67,103041.0,0.91,12.17,28.67,24.61,17.33,21.71,0.0,12.04,1.09,0.0,-166276000.0,-3.28,-3.55,0.45,-0.09,-0.29,-189320000.0,11087000.0,16.82,17.13,0.04,1.33,0.72,-0.15,-26.67,-0.13,-0.14,-202616000.0,0.0,-50.0,0.0,0.0,-23.86,0.0
BDGS,Bridges Capital Tactical ETF,USD,32.31,32.16,32.16,32.23,32.31,32.16,32.16,32.23,0.0,0.0,0.0,0.0,26.75,0.0,336.0,0.0,27.13,33.04,0.0,31.96,29.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDMD,Baird Medical Investment Holdin,USD,7.69,7.36,7.05,8.29,7.69,7.36,7.05,8.29,0.0,0.0,0.0,0.14,20.53,0.0,102687.0,0.26,1.05,13.52,7.91,3.8,8.16,37.96,1.34,5.38,0.86,12545886.0,0.35,0.0,7.26,15.86,-0.29,15129590.0,15516948.0,1.61,2.1,0.03,39.53,1.12,0.0,0.0,0.03,0.0,-5623307.0,85.8,13.8,0.88,45.78,0.39,0.0
BDMDW,0.0,USD,0.11,0.13,0.12,0.14,0.11,0.13,0.12,0.14,0.0,0.0,0.0,0.14,0.0,0.0,11313.0,0.0,0.12,0.14,0.0,0.0,0.0,37.96,1.34,0.09,0.86,12545886.0,0.0,0.0,0.0,0.0,0.0,15129590.0,15516948.0,1.61,2.1,0.03,39.53,1.12,0.0,0.0,0.03,0.0,-5623307.0,85.8,13.8,0.88,45.78,0.39,0.0
BDRX,Biodexa Pharmaceuticals plc,USD,4.58,4.28,4.14,4.53,4.58,4.28,4.14,4.53,0.0,0.0,0.0,1.44,0.0,-86.4,27629.0,0.0,3.5,74.0,34.8,4.49,14.25,0.0,24.07,0.18,0.0,-6819000.0,-74.11,0.0,197903.1,-2549.82,-0.91,-6442000.0,382000.0,2.16,2.16,0.0,4.38,0.44,-0.38,-97.23,0.0,-0.0,-7752000.0,0.0,0.0,1.75,0.0,-79.31,0.0
BDSX,"Biodesix, Inc.",USD,1.03,1.03,0.98,1.06,1.03,1.03,0.98,1.06,0.0,0.0,0.0,1.21,0.0,-4.68,299463.0,0.15,0.86,2.21,2.29,1.33,1.52,-66.84,0.19,5.36,0.0,-43819000.0,-0.37,-0.22,2.77,-6.2,-0.48,-29259000.0,62978000.0,3.04,3.4,0.07,226.08,0.57,-0.23,-331.82,0.05,-0.04,-56836000.0,0.0,34.5,0.78,-44.63,-0.47,0.0
BDTX,"Black Diamond Therapeutics, Inc",USD,2.48,2.46,2.44,2.64,2.48,2.46,2.44,2.64,0.0,0.0,0.0,2.52,0.0,-1.99,404570.0,0.14,1.91,7.66,0.0,2.42,4.37,0.0,1.72,1.44,0.0,-73099000.0,-1.33,-1.22,0.0,-0.62,-0.18,-81017000.0,22999000.0,5.42,5.56,0.0,23.61,0.0,-0.33,-63.09,0.0,-0.03,-61204000.0,0.0,0.0,0.0,0.0,0.0,0.0
BEAG,Bold Eagle Acquisition Corp.,USD,9.91,9.9,9.91,9.91,9.91,9.9,9.91,9.91,0.0,0.0,0.0,0.0,991.04,0.0,572.0,0.31,9.84,9.95,0.0,9.88,9.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEAGR,Bold Eagle Acquisition Corp.,USD,0.22,0.22,0.21,0.21,0.22,0.22,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEAGU,Bold Eagle Acquisition Corp.,USD,10.09,10.12,10.08,10.14,10.09,10.12,10.08,10.14,0.0,0.0,0.0,0.0,0.0,0.0,927.0,0.0,9.96,10.25,0.0,10.08,10.07,0.0,-0.01,0.0,0.0,429627.0,0.0,0.0,0.0,0.0,0.01,0.0,542975.0,0.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEAM,Beam Therapeutics Inc.,USD,25.98,25.43,25.19,26.25,25.98,25.43,25.19,26.25,0.0,0.0,0.0,1.86,0.0,-5.49,392525.0,2.15,20.84,49.5,6.14,26.45,25.17,-41.07,9.97,2.6,0.0,-143591008.0,-1.58,-4.77,3.73,-8.11,-0.08,-160828992.0,162064992.0,5.57,5.69,0.35,20.48,4.27,-0.09,-18.29,-0.06,-0.04,-135808000.0,0.0,-17.0,-0.16,-46.0,-7.46,0.0
BEAT,"Heartbeam, Inc.",USD,2.12,2.12,2.08,2.16,2.12,2.12,2.08,2.16,0.0,0.0,0.0,-0.99,0.0,-3.98,87520.0,0.06,1.35,3.48,0.0,2.52,2.39,0.0,0.6,3.49,0.0,-16911000.0,-0.68,-0.53,0.0,0.0,0.18,0.0,0.0,6.45,6.83,0.0,0.0,0.0,-0.7,-113.62,0.0,-0.01,-11969000.0,0.0,0.0,0.0,0.0,0.0,0.0
BEATW,"Heartbeam, Inc. Warrant",USD,0.55,0.61,0.61,0.61,0.55,0.61,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,874.0,0.0,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BECN,"Beacon Roofing Supply, Inc.",USD,118.42,119.74,119.25,120.7,118.42,119.74,119.25,120.7,0.0,0.0,0.0,1.54,20.48,15.06,1202901.0,7.42,77.54,121.22,0.77,107.6,96.34,3.86,30.66,3.91,-0.1,373400000.0,5.85,8.03,1.14,12.32,0.38,889900032.0,3706800128.0,1.09,1.91,9.66,195.34,153.26,0.06,20.46,2.48,0.03,321700000.0,0.0,7.3,0.26,9.21,0.09,0.0
BEEM,Beam Global,USD,2.81,2.75,2.65,2.76,2.81,2.75,2.65,2.76,0.0,0.0,0.0,1.56,0.0,-4.33,222462.0,0.04,2.62,8.48,0.6,3.4,4.99,-25.27,3.44,0.77,0.0,-16652000.0,-0.97,-0.19,0.84,-4.68,-0.59,-11900000.0,2385000.0,1.06,1.79,0.07,5.5,4.61,-0.14,-34.42,0.0,0.0,-8342000.0,0.0,-16.9,0.07,-18.06,-0.32,0.0
BEEX,The Beehive ETF,USD,23.39,23.39,23.38,23.38,23.39,23.39,23.38,23.38,0.0,0.0,0.0,0.0,24.8,0.0,8.0,0.0,22.21,23.4,0.0,22.83,22.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEEZ,Honeytree U.S. Equity ETF,USD,32.54,32.54,32.59,32.59,32.54,32.54,32.59,32.59,0.0,0.0,0.0,0.0,31.81,0.0,11.0,0.0,28.3,33.56,0.0,32.41,31.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELFA,Bel Fuse Inc.,USD,87.3,86.87,87.3,87.3,87.3,86.87,87.3,87.3,0.24,0.0,1.12,1.28,21.19,16.29,2780.0,1.03,51.0,106.93,1.97,93.34,87.59,10.44,29.28,2.98,-0.58,54796000.0,4.12,4.9,1.93,11.62,0.27,87122000.0,83259000.0,2.55,4.0,0.52,22.66,41.43,0.08,15.91,0.2,0.07,92644000.0,-57.7,-22.1,0.38,16.6,0.1,1.21
BELFB,Bel Fuse Inc.,USD,81.22,79.35,78.81,80.75,81.22,79.35,78.81,80.75,0.28,0.0,1.35,1.28,19.45,16.03,52370.0,1.02,45.75,92.61,1.94,81.09,71.63,10.44,29.28,2.74,-0.58,54796000.0,4.12,4.94,1.78,10.75,0.21,87122000.0,83259000.0,2.55,4.0,0.52,22.66,41.43,0.08,15.91,0.2,0.07,92644000.0,-57.7,-22.1,0.38,16.6,0.1,1.13
BELT,iShares Long-Term U.S. Equity A,USD,31.8,31.74,31.77,31.77,31.8,31.74,31.77,31.77,0.0,0.0,0.0,0.0,40.89,0.0,320.0,0.0,26.7,31.95,0.0,30.77,29.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
